
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 1050 | loss: 0.6721 | acc: 0.6250
  batch 1100 | loss: 0.3116 | acc: 0.7500
  batch 1150 | loss: 0.5339 | acc: 0.8750
  batch 1200 | loss: 0.7191 | acc: 0.7500
  batch 1250 | loss: 0.2436 | acc: 1.0000
  batch 1300 | loss: 0.3690 | acc: 0.7500
  batch 1350 | loss: 0.5122 | acc: 0.7500
  batch 1400 | loss: 0.4420 | acc: 0.8750
  batch 1450 | loss: 0.5765 | acc: 0.6250
  batch 1500 | loss: 0.4230 | acc: 0.8750
  batch 1550 | loss: 0.5573 | acc: 0.6250
  batch 1600 | loss: 0.5424 | acc: 0.6250
  batch 1650 | loss: 0.3185 | acc: 0.8750
  batch 1700 | loss: 0.4596 | acc: 0.6250
  batch 1750 | loss: 0.2287 | acc: 1.0000
  batch 1800 | loss: 0.7014 | acc: 0.7500
  batch 1850 | loss: 0.2844 | acc: 0.8750
  batch 1900 | loss: 0.1353 | acc: 1.0000
  batch 1950 | loss: 0.1813 | acc: 0.8750
  batch 2000 | loss: 0.3821 | acc: 0.7500
  batch 2050 | loss: 0.3679 | acc: 0.7500
  batch 2100 | loss: 0.4317 | acc: 0.8750
  batch 2150 | loss: 0.3660 | acc: 0.7500
  batch 2200 | loss: 0.1644 | acc: 1.0000
  batch 2250 | loss: 0.2885 | acc: 0.8750
  batch 2300 | loss: 0.2065 | acc: 0.8750
  batch 2350 | loss: 0.3533 | acc: 0.8750
  batch 2400 | loss: 0.6448 | acc: 0.7500
  batch 2450 | loss: 0.3071 | acc: 0.8750
  batch 2500 | loss: 0.3289 | acc: 0.8750
  batch 2550 | loss: 0.1442 | acc: 0.8750
  batch 2600 | loss: 0.2456 | acc: 0.8750
  batch 2650 | loss: 0.1918 | acc: 1.0000
  batch 2700 | loss: 0.4598 | acc: 0.7500
  batch 2750 | loss: 0.3178 | acc: 0.8750
  batch 2800 | loss: 0.1402 | acc: 1.0000
  batch 2850 | loss: 0.5005 | acc: 0.7500
  batch 2900 | loss: 0.2923 | acc: 0.8750
  batch 2950 | loss: 0.9260 | acc: 0.6250
  batch 3000 | loss: 0.4529 | acc: 0.7500
  batch 3050 | loss: 0.0749 | acc: 1.0000
  batch 3100 | loss: 0.4073 | acc: 0.8750
  batch 3150 | loss: 1.2006 | acc: 0.7500
  batch 3200 | loss: 0.0693 | acc: 1.0000
  batch 3250 | loss: 0.4247 | acc: 0.7500
  batch 3300 | loss: 0.4327 | acc: 0.7500
  batch 3350 | loss: 0.3582 | acc: 0.7500
  batch 3400 | loss: 0.3270 | acc: 0.8750
  batch 3450 | loss: 0.7564 | acc: 0.7500
  batch 3500 | loss: 0.4142 | acc: 0.7500
  batch 3550 | loss: 0.2442 | acc: 0.8750
  batch 3600 | loss: 0.4238 | acc: 0.8750
  batch 3650 | loss: 0.2458 | acc: 0.8750
  batch 3700 | loss: 0.5421 | acc: 0.8750
  batch 3750 | loss: 0.2180 | acc: 0.8750
  batch 3800 | loss: 0.3568 | acc: 0.8750
